,dataset,algorithm,algorithm_params,emb_approach,hubness,metric,hits@1,hits@5,hits@10,hits@25,hits@50,Robin Hood,time in s,memory
4361,D-W 15K(V1),Annoy,{'search_k': -1},AttrE,CSLS,euclidean,0.3406,0.4644666666666667,0.5224666666666666,0.5944,0.6373333333333333,0.3285693333333333,6.953588,167481344
1171,D-W 15K(V1),BallTree,{},AttrE,CSLS,euclidean,0.347,0.4942666666666667,0.5595333333333333,0.6428,0.6871333333333334,0.34124133333333334,132.79917,205553664
1953,D-W 15K(V1),Brute,{},AttrE,CSLS,euclidean,0.347,0.4942666666666667,0.5595333333333333,0.6428,0.6871333333333334,0.34124133333333334,69.809304,1779986432
2737,D-W 15K(V1),HNSW,"{'M': 96, 'efConstruction': 500}",AttrE,CSLS,cosine,0.324,0.4620666666666667,0.5276666666666666,0.6138666666666667,0.6668666666666667,0.35352133333333335,42.699656,280592384
5201,D-W 15K(V1),KDTree,{},AttrE,CSLS,euclidean,0.347,0.4942666666666667,0.5595333333333333,0.6428,0.6871333333333334,0.34124133333333334,125.645886,208220160
3577,D-W 15K(V1),NGT,{},AttrE,CSLS,euclidean,0.344,0.4885333333333333,0.5537333333333333,0.6374666666666666,0.6819333333333333,0.34390133333333334,45.968152,176406528
4417,D-W 15K(V1),Annoy,{'search_k': -1},BootEA,CSLS,euclidean,0.6616666666666666,0.8104666666666667,0.8478,0.8792666666666666,0.8933333333333333,0.22805866666666666,7.954743,167034880
1227,D-W 15K(V1),BallTree,{},BootEA,CSLS,euclidean,0.6648666666666667,0.8192666666666667,0.8593333333333333,0.8947333333333334,0.911,0.224036,105.655085,207364096
2009,D-W 15K(V1),Brute,{},BootEA,CSLS,euclidean,0.6648666666666667,0.8192666666666667,0.8593333333333333,0.8947333333333334,0.911,0.224036,69.178343,1783017472
2793,D-W 15K(V1),HNSW,"{'M': 96, 'efConstruction': 500}",BootEA,CSLS,cosine,0.6550666666666667,0.8123333333333334,0.8542666666666666,0.8902,0.9074666666666666,0.20195866666666668,96.365295,288178176
5257,D-W 15K(V1),KDTree,{},BootEA,CSLS,euclidean,0.6648666666666667,0.8192666666666667,0.8593333333333333,0.8947333333333334,0.911,0.224036,135.02257,205221888
3633,D-W 15K(V1),NGT,{},BootEA,CSLS,euclidean,0.6618666666666667,0.8166666666666667,0.8568,0.8920666666666667,0.9082,0.22519986772910064,130.428641,174874624
4473,D-W 15K(V1),Annoy,{'search_k': -1},ConvE,CSLS,euclidean,0.30573333333333336,0.4004666666666667,0.44026666666666664,0.4812666666666667,0.5100666666666667,0.2630146666666667,7.571916,169365504
1283,D-W 15K(V1),BallTree,{},ConvE,CSLS,euclidean,0.3092,0.41013333333333335,0.4526,0.5044666666666666,0.5397333333333333,0.2733026666666667,126.499192,204394496
2065,D-W 15K(V1),Brute,{},ConvE,CSLS,euclidean,0.3092,0.41013333333333335,0.4526,0.5044666666666666,0.5397333333333333,0.2733026666666667,69.357183,1781719040
2849,D-W 15K(V1),HNSW,"{'M': 96, 'efConstruction': 500}",ConvE,CSLS,cosine,0.30333333333333334,0.40546666666666664,0.44913333333333333,0.5014666666666666,0.5368,0.22022266666666668,94.726703,286007296
5313,D-W 15K(V1),KDTree,{},ConvE,CSLS,euclidean,0.3092,0.41013333333333335,0.4526,0.5044666666666666,0.5397333333333333,0.2733026666666667,133.560385,208203776
3689,D-W 15K(V1),NGT,{},ConvE,CSLS,euclidean,0.3075333333333333,0.4084,0.451,0.5028,0.5380666666666667,0.2757426666666667,101.405153,176263168
4529,D-W 15K(V1),Annoy,{'search_k': -1},GCN_Align,CSLS,euclidean,0.41906666666666664,0.5972666666666666,0.6406666666666667,0.6742666666666667,0.6894,0.4263093333333333,6.843359,168497152
1339,D-W 15K(V1),BallTree,{},GCN_Align,CSLS,euclidean,0.44026666666666664,0.6476666666666666,0.704,0.7514666666666666,0.7760666666666667,0.43234,100.90214,208187392
2121,D-W 15K(V1),Brute,{},GCN_Align,CSLS,euclidean,0.4404,0.6476666666666666,0.704,0.7514666666666666,0.7760666666666667,0.43234,69.44624,1783013376
2905,D-W 15K(V1),HNSW,"{'M': 96, 'efConstruction': 500}",GCN_Align,CSLS,cosine,0.42106666666666664,0.6294,0.6888666666666666,0.7368666666666667,0.7586,0.42697933874777566,50.175204,272035840
5369,D-W 15K(V1),KDTree,{},GCN_Align,CSLS,euclidean,0.44033333333333335,0.6476666666666666,0.704,0.7514666666666666,0.7760666666666667,0.43234,140.599301,208216064
3745,D-W 15K(V1),NGT,{},GCN_Align,CSLS,euclidean,0.3314666666666667,0.48206666666666664,0.5291333333333333,0.5721333333333334,0.5955333333333334,0.4751493333333333,67.786822,174051328
4585,D-W 15K(V1),Annoy,{'search_k': -1},HolE,CSLS,euclidean,0.20446666666666666,0.21826666666666666,0.22926666666666667,0.24613333333333334,0.26913333333333334,0.24264933333333333,7.528614,166838272
1395,D-W 15K(V1),BallTree,{},HolE,CSLS,euclidean,0.205,0.2212,0.23473333333333332,0.2574,0.2870666666666667,0.23799733333333334,111.170244,204046336
2177,D-W 15K(V1),Brute,{},HolE,CSLS,euclidean,0.205,0.2212,0.23473333333333332,0.2574,0.2870666666666667,0.23799733333333334,69.520507,1780645888
2961,D-W 15K(V1),HNSW,"{'M': 96, 'efConstruction': 500}",HolE,CSLS,cosine,0.204,0.219,0.2324,0.2561333333333333,0.2846666666666667,0.198556,108.145524,280752128
5425,D-W 15K(V1),KDTree,{},HolE,CSLS,euclidean,0.205,0.2212,0.23473333333333332,0.2574,0.2870666666666667,0.23799733333333334,128.902824,203079680
3801,D-W 15K(V1),NGT,{},HolE,CSLS,euclidean,0.20493333333333333,0.2214,0.23466666666666666,0.25733333333333336,0.287,0.23838666666666666,163.594253,176934912
4641,D-W 15K(V1),Annoy,{'search_k': -1},IMUSE,CSLS,euclidean,0.406,0.5570666666666667,0.6113333333333333,0.6692666666666667,0.7031333333333334,0.23275066666666666,7.566073,165502976
1451,D-W 15K(V1),BallTree,{},IMUSE,CSLS,euclidean,0.4228,0.6058666666666667,0.6720666666666667,0.7532666666666666,0.8026,0.21860133333333334,103.960034,204951552
2233,D-W 15K(V1),Brute,{},IMUSE,CSLS,euclidean,0.4228,0.6058666666666667,0.6720666666666667,0.7532666666666666,0.8026,0.21860133333333334,69.476211,1780142080
3017,D-W 15K(V1),HNSW,"{'M': 96, 'efConstruction': 500}",IMUSE,CSLS,cosine,0.39553333333333335,0.5906,0.6639333333333334,0.7505333333333334,0.7992,0.20114,80.431763,285847552
5481,D-W 15K(V1),KDTree,{},IMUSE,CSLS,euclidean,0.4228,0.6058666666666667,0.6720666666666667,0.7532666666666666,0.8026,0.21860133333333334,137.175869,208224256
3857,D-W 15K(V1),NGT,{},IMUSE,CSLS,euclidean,0.42246666666666666,0.6046,0.6704666666666667,0.7514,0.8007333333333333,0.21922933333333333,109.268161,174817280
4697,D-W 15K(V1),Annoy,{'search_k': -1},IPTransE,CSLS,euclidean,0.2571333333333333,0.3379333333333333,0.36666666666666664,0.4060666666666667,0.43633333333333335,0.2772293333333333,7.679236,170516480
1507,D-W 15K(V1),BallTree,{},IPTransE,CSLS,euclidean,0.26666666666666666,0.3920666666666667,0.4367333333333333,0.4962666666666667,0.5482666666666667,0.23495333333333332,104.659596,207343616
2289,D-W 15K(V1),Brute,{},IPTransE,CSLS,euclidean,0.26666666666666666,0.3920666666666667,0.4367333333333333,0.4962666666666667,0.5482666666666667,0.23495333333333332,69.891158,1783013376
3073,D-W 15K(V1),HNSW,"{'M': 96, 'efConstruction': 500}",IPTransE,CSLS,cosine,0.24826666666666666,0.3814666666666667,0.4361333333333333,0.49693333333333334,0.5498,0.21580133333333334,101.142595,288133120
5537,D-W 15K(V1),KDTree,{},IPTransE,CSLS,euclidean,0.26666666666666666,0.3920666666666667,0.4367333333333333,0.4962666666666667,0.5482666666666667,0.23495333333333332,136.895423,205541376
3913,D-W 15K(V1),NGT,{},IPTransE,CSLS,euclidean,0.26653333333333334,0.3917333333333333,0.43653333333333333,0.49566666666666664,0.5477333333333333,0.23549733333333334,186.070445,176181248
4753,D-W 15K(V1),Annoy,{'search_k': -1},JAPE,CSLS,euclidean,0.2886,0.4266666666666667,0.4882666666666667,0.5586666666666666,0.5992,0.33510666666666666,6.554385,169336832
1563,D-W 15K(V1),BallTree,{},JAPE,CSLS,euclidean,0.2976,0.46713333333333334,0.5480666666666667,0.6477333333333334,0.7100666666666666,0.339032,104.671333,204869632
2345,D-W 15K(V1),Brute,{},JAPE,CSLS,euclidean,0.2976,0.46713333333333334,0.5480666666666667,0.6477333333333334,0.7100666666666666,0.339032,69.812864,1781039104
3129,D-W 15K(V1),HNSW,"{'M': 96, 'efConstruction': 500}",JAPE,CSLS,cosine,0.2766,0.4387333333333333,0.521,0.6183333333333333,0.6794666666666667,0.36463800918252093,45.113002,272478208
5593,D-W 15K(V1),KDTree,{},JAPE,CSLS,euclidean,0.2976,0.46713333333333334,0.5480666666666667,0.6477333333333334,0.7100666666666666,0.339032,113.386547,208224256
3969,D-W 15K(V1),NGT,{},JAPE,CSLS,euclidean,0.2594,0.4086666666666667,0.4815333333333333,0.5755333333333333,0.6336,0.37101466666666666,49.302579,176181248
87,D-W 15K(V1),Annoy,{'search_k': -1},MultiKE,CSLS,euclidean,0.2714,0.39313333333333333,0.44153333333333333,0.4998,0.5328666666666667,0.489212,6.954526,171388928
1060,D-W 15K(V1),BallTree,{},MultiKE,CSLS,euclidean,0.27166666666666667,0.39686666666666665,0.4477333333333333,0.5046,0.5364666666666666,0.5260066666666666,118.550961,209788928
1005,D-W 15K(V1),Brute,{},MultiKE,CSLS,euclidean,0.27166666666666667,0.39686666666666665,0.4477333333333333,0.5046,0.5364666666666666,0.5260066666666666,68.875828,1783648256
10,D-W 15K(V1),HNSW,"{'M': 96, 'efConstruction': 500}",MultiKE,CSLS,cosine,0.262,0.38206666666666667,0.43406666666666666,0.4928,0.5298,0.5274253333333333,38.448185,274948096
51,D-W 15K(V1),KDTree,{},MultiKE,CSLS,euclidean,0.27166666666666667,0.39686666666666665,0.4477333333333333,0.5046,0.5364666666666666,0.5260066666666666,133.989106,210399232
1115,D-W 15K(V1),NGT,{},MultiKE,CSLS,euclidean,0.2282,0.347,0.39593333333333336,0.4523333333333333,0.48373333333333335,0.5370413333333334,32.550125,177979392
4865,D-W 15K(V1),Annoy,{'search_k': -1},ProjE,CSLS,euclidean,0.32006666666666667,0.4238,0.4556,0.4819333333333333,0.4966,0.30905866666666665,8.224171,166989824
1619,D-W 15K(V1),BallTree,{},ProjE,CSLS,euclidean,0.3372,0.4690666666666667,0.5144,0.5618,0.5968,0.31567866666666666,105.702196,204353536
2401,D-W 15K(V1),Brute,{},ProjE,CSLS,euclidean,0.3372,0.4690666666666667,0.5144,0.5618,0.5968,0.31567866666666666,69.466892,1779986432
3241,D-W 15K(V1),HNSW,"{'M': 96, 'efConstruction': 500}",ProjE,CSLS,cosine,0.3257333333333333,0.46386666666666665,0.5159333333333334,0.5657333333333333,0.6008666666666667,0.275304,121.832675,286007296
5705,D-W 15K(V1),KDTree,{},ProjE,CSLS,euclidean,0.3372,0.4690666666666667,0.5144,0.5618,0.5968,0.31567866666666666,136.287271,208216064
4025,D-W 15K(V1),NGT,{},ProjE,CSLS,euclidean,0.33726666666666666,0.4694,0.5146666666666667,0.5621333333333334,0.5968666666666667,0.31722533333333336,208.583323,175202304
4977,D-W 15K(V1),Annoy,{'search_k': -1},RSN4EA,CSLS,euclidean,0.4468,0.5678666666666666,0.6026,0.6344,0.6481333333333333,0.30519066666666667,7.758558,167112704
1731,D-W 15K(V1),BallTree,{},RSN4EA,CSLS,euclidean,0.5132666666666666,0.6836,0.7332,0.78,0.7992666666666667,0.34763733333333335,112.002962,204361728
2513,D-W 15K(V1),Brute,{},RSN4EA,CSLS,euclidean,0.5132666666666666,0.6836,0.7332,0.78,0.7992666666666667,0.34763733333333335,69.486063,1780670464
3353,D-W 15K(V1),HNSW,"{'M': 96, 'efConstruction': 500}",RSN4EA,CSLS,cosine,0.4936,0.6666,0.7180666666666666,0.7692666666666667,0.7909333333333334,0.3258106666666667,72.082765,286044160
5817,D-W 15K(V1),KDTree,{},RSN4EA,CSLS,euclidean,0.5132666666666666,0.6836,0.7332,0.78,0.7992666666666667,0.34763733333333335,132.505786,207179776
4137,D-W 15K(V1),NGT,{},RSN4EA,CSLS,euclidean,0.5126666666666667,0.683,0.7324,0.7792,0.7984666666666667,0.34799066666666667,118.398621,176074752
4921,D-W 15K(V1),Annoy,{'search_k': -1},RotatE,CSLS,euclidean,0.3404,0.47886666666666666,0.5318,0.5798,0.6026666666666667,0.2804586666666667,7.319928,192688128
1675,D-W 15K(V1),BallTree,{},RotatE,CSLS,euclidean,0.3688,0.5497333333333333,0.6250666666666667,0.7071333333333333,0.7537333333333334,0.252832,104.299197,192671744
2457,D-W 15K(V1),Brute,{},RotatE,CSLS,euclidean,0.3688,0.5497333333333333,0.6250666666666667,0.7071333333333333,0.7537333333333334,0.252832,69.435459,2338390016
3297,D-W 15K(V1),HNSW,"{'M': 96, 'efConstruction': 500}",RotatE,CSLS,cosine,0.3460666666666667,0.5336666666666666,0.6160666666666667,0.7018,0.7491333333333333,0.224672,64.660509,306847744
5761,D-W 15K(V1),KDTree,{},RotatE,CSLS,euclidean,0.3688,0.5497333333333333,0.6250666666666667,0.7071333333333333,0.7537333333333334,0.252832,134.025625,193585152
4081,D-W 15K(V1),NGT,{},RotatE,CSLS,euclidean,0.36873333333333336,0.5496666666666666,0.6245333333333334,0.7062,0.7526,0.25382133333333334,98.909855,194904064
5033,D-W 15K(V1),Annoy,{'search_k': -1},SimplE,CSLS,euclidean,0.20626666666666665,0.2332,0.254,0.2916,0.3244666666666667,0.364288,6.873616,168472576
1785,D-W 15K(V1),BallTree,{},SimplE,CSLS,euclidean,0.20706666666666668,0.23986666666666667,0.2674,0.315,0.3564,0.32743733333333336,102.057974,204349440
2569,D-W 15K(V1),Brute,{},SimplE,CSLS,euclidean,0.20706666666666668,0.23986666666666667,0.2674,0.315,0.3564,0.32743733333333336,69.413899,1783017472
3409,D-W 15K(V1),HNSW,"{'M': 96, 'efConstruction': 500}",SimplE,CSLS,cosine,0.20413333333333333,0.2304,0.25466666666666665,0.3001333333333333,0.345,0.35144933333333334,53.574983,283234304
5873,D-W 15K(V1),KDTree,{},SimplE,CSLS,euclidean,0.20706666666666668,0.23986666666666667,0.2674,0.315,0.3564,0.32743733333333336,128.950308,207941632
4193,D-W 15K(V1),NGT,{},SimplE,CSLS,euclidean,0.2012,0.23386666666666667,0.2608,0.3085333333333333,0.35033333333333333,0.333608,76.200104,176144384
5089,D-W 15K(V1),Annoy,{'search_k': -1},TransD,CSLS,euclidean,0.28913333333333335,0.38726666666666665,0.4176666666666667,0.45793333333333336,0.492,0.2651733333333333,7.885689,167956480
1841,D-W 15K(V1),BallTree,{},TransD,CSLS,euclidean,0.29946666666666666,0.44353333333333333,0.4902,0.5492,0.6012,0.23113866666666666,105.154191,205074432
2625,D-W 15K(V1),Brute,{},TransD,CSLS,euclidean,0.29946666666666666,0.44353333333333333,0.4902,0.5492,0.6012,0.23113866666666666,69.605435,1780531200
3465,D-W 15K(V1),HNSW,"{'M': 96, 'efConstruction': 500}",TransD,CSLS,cosine,0.27673333333333333,0.43366666666666664,0.48746666666666666,0.5509333333333334,0.6062666666666666,0.20820266666666667,89.061362,283910144
5929,D-W 15K(V1),KDTree,{},TransD,CSLS,euclidean,0.29946666666666666,0.44353333333333333,0.4902,0.5492,0.6012,0.23113866666666666,132.550907,208199680
4249,D-W 15K(V1),NGT,{},TransD,CSLS,euclidean,0.2994,0.4434,0.4901333333333333,0.5492,0.6014,0.23174933333333333,180.188139,173084672
5145,D-W 15K(V1),Annoy,{'search_k': -1},TransH,CSLS,euclidean,0.28086666666666665,0.377,0.4118,0.4577333333333333,0.4956,0.2644186666666667,7.538862,170573824
1897,D-W 15K(V1),BallTree,{},TransH,CSLS,euclidean,0.2932666666666667,0.432,0.47973333333333334,0.5448666666666667,0.6019333333333333,0.22826933333333332,104.998234,207400960
2681,D-W 15K(V1),Brute,{},TransH,CSLS,euclidean,0.2932666666666667,0.432,0.47973333333333334,0.5448666666666667,0.6019333333333333,0.22826933333333332,69.747472,1783013376
3521,D-W 15K(V1),HNSW,"{'M': 96, 'efConstruction': 500}",TransH,CSLS,cosine,0.2706,0.4195333333333333,0.4739333333333333,0.5448,0.6018,0.21455733333333332,94.001892,287064064
5985,D-W 15K(V1),KDTree,{},TransH,CSLS,euclidean,0.2932666666666667,0.432,0.47973333333333334,0.5448666666666667,0.6019333333333333,0.22826933333333332,128.606394,203304960
4305,D-W 15K(V1),NGT,{},TransH,CSLS,euclidean,0.293,0.4314,0.4794,0.5442,0.6012,0.228824,153.165768,177803264
4366,D-W 15K(V1),Annoy,{'search_k': -1},AttrE,DSL,euclidean,0.12353333333333333,0.36946666666666667,0.476,0.5855333333333334,0.6356,0.33524133333333334,10.326199,205959168
